Date,Clicks,Impressions,CTR,Position
2023-10-30,1027,69304,1.48%,34.81
2023-10-29,898,64894,1.38%,36.4
2023-10-28,610,59773,1.02%,39.15
2023-10-27,766,60903,1.26%,35.35
2023-10-26,994,72190,1.38%,34.43
2023-10-25,1095,73179,1.5%,34.38
2023-10-24,1014,69512,1.46%,33.55
2023-10-23,1001,72053,1.39%,34.19
2023-10-22,850,66057,1.29%,34.59
2023-10-21,631,63003,1%,38.58
2023-10-20,825,64622,1.28%,36.21
2023-10-19,955,73329,1.3%,35.16
2023-10-18,1188,73721,1.61%,33.84
2023-10-17,1069,73280,1.46%,33.69
2023-10-16,1030,74363,1.39%,33.96
2023-10-15,795,65898,1.21%,35.44
2023-10-14,586,60091,0.98%,38.32
2023-10-13,858,62854,1.37%,34.87
2023-10-12,1006,72649,1.38%,33.99
2023-10-11,1054,71075,1.48%,33.05
2023-10-10,966,68242,1.42%,33.24
2023-10-09,956,69498,1.38%,33.95
2023-10-08,815,60877,1.34%,34.26
2023-10-07,579,55780,1.04%,37.05
2023-10-06,793,60233,1.32%,33.82
2023-10-05,1026,70290,1.46%,33.35
2023-10-04,946,67248,1.41%,32.57
2023-10-03,964,64498,1.49%,32.49
2023-10-02,959,67228,1.43%,32.87
2023-10-01,830,61842,1.34%,34.6
2023-09-30,692,56309,1.23%,37.19
2023-09-29,860,59244,1.45%,34.33
2023-09-28,919,69074,1.33%,34.14
2023-09-27,948,72701,1.3%,33.88
2023-09-26,1050,69690,1.51%,33.56
2023-09-25,975,71433,1.36%,34.65
2023-09-24,855,64511,1.33%,35.87
2023-09-23,565,57964,0.97%,38.16
2023-09-22,807,62007,1.3%,35.49
2023-09-21,924,72105,1.28%,35.62
2023-09-20,978,69720,1.4%,34.74
2023-09-19,911,66998,1.36%,35.07
2023-09-18,932,69174,1.35%,35.05
2023-09-17,790,63463,1.24%,36.45
2023-09-16,573,56739,1.01%,38.24
2023-09-15,792,59622,1.33%,35.66
2023-09-14,957,68253,1.4%,34.83
2023-09-13,987,70160,1.41%,34.55
2023-09-12,926,68420,1.35%,34.99
2023-09-11,877,66453,1.32%,35.57
2023-09-10,705,61051,1.15%,36.46
2023-09-09,521,55835,0.93%,39.64
2023-09-08,697,59114,1.18%,37.15
2023-09-07,833,67450,1.23%,35.99
2023-09-06,895,68154,1.31%,34.65
2023-09-05,822,71616,1.15%,35.98
2023-09-04,766,66481,1.15%,35.52
2023-09-03,685,63111,1.09%,36.94
2023-09-02,496,58291,0.85%,39.13
2023-09-01,746,64509,1.16%,36.95
2023-08-31,880,72902,1.21%,36.07
2023-08-30,860,69855,1.23%,34.94
2023-08-29,834,66929,1.25%,35.23
2023-08-28,811,65672,1.23%,35.33
2023-08-27,685,66949,1.02%,37.85
2023-08-26,526,59430,0.89%,40.09
2023-08-25,665,62210,1.07%,38.16
2023-08-24,768,69211,1.11%,37.38
2023-08-23,829,67230,1.23%,36.98
2023-08-22,804,65668,1.22%,37.23
2023-08-21,810,66703,1.21%,37.84
2023-08-20,651,62752,1.04%,39
2023-08-19,500,55760,0.9%,40.04
2023-08-18,702,58732,1.2%,38.91
2023-08-17,739,66119,1.12%,37.69
2023-08-16,797,61524,1.3%,36.65
2023-08-15,765,57131,1.34%,36.26
2023-08-14,682,58838,1.16%,36.55
2023-08-13,588,55785,1.05%,37.54
2023-08-12,501,53228,0.94%,39.11
2023-08-11,613,56170,1.09%,37.24
2023-08-10,770,66926,1.15%,37.96
2023-08-09,785,64300,1.22%,37.53
2023-08-08,804,63176,1.27%,38.97
2023-08-07,720,62798,1.15%,38.95
2023-08-06,581,58854,0.99%,40.57
2023-08-05,443,56696,0.78%,42.08
2023-08-04,676,58626,1.15%,39.85
2023-08-03,706,70128,1.01%,39.22
2023-08-02,711,67686,1.05%,38.97
2023-08-01,708,66164,1.07%,39.14
2023-07-31,792,84869,0.93%,41.77
2023-07-30,579,50455,1.15%,38.68
2023-07-29,422,51310,0.82%,40.7
2023-07-28,597,59710,1%,40.07
2023-07-27,615,66717,0.92%,39.98
2023-07-26,731,67709,1.08%,39.12
2023-07-25,716,61930,1.16%,38.6
2023-07-24,713,65822,1.08%,38.95
2023-07-23,549,56994,0.96%,40.4
2023-07-22,445,56733,0.78%,42.23
2023-07-21,589,56893,1.04%,40.61
2023-07-20,705,67846,1.04%,39.65
2023-07-19,726,64308,1.13%,38.64
2023-07-18,716,66078,1.08%,38.42
2023-07-17,723,70154,1.03%,39.58
2023-07-16,614,66971,0.92%,40.61
2023-07-15,494,66833,0.74%,41.96
2023-07-14,641,67959,0.94%,39.83
2023-07-13,810,81257,1%,39.49
2023-07-12,782,79710,0.98%,38.78
2023-07-11,818,78286,1.04%,39.13
2023-07-10,848,82782,1.02%,39.35
2023-07-09,603,74486,0.81%,41.5
2023-07-08,446,62959,0.71%,42.53
2023-07-07,666,70554,0.94%,40.7
2023-07-06,783,84400,0.93%,40.29
2023-07-05,847,84381,1%,39.65
2023-07-04,747,79260,0.94%,41.29
2023-07-03,733,81501,0.9%,41.33
2023-07-02,525,74415,0.71%,42.65
2023-07-01,459,71789,0.64%,44.27
2023-06-30,672,73726,0.91%,41.92
2023-06-29,729,92725,0.79%,40.92
2023-06-28,793,84950,0.93%,39.11
2023-06-27,890,83194,1.07%,38.13
2023-06-26,880,85963,1.02%,38.2
2023-06-25,674,77848,0.87%,39.2
2023-06-24,558,72342,0.77%,40.23
2023-06-23,804,75521,1.06%,38.37
2023-06-22,934,87439,1.07%,38.02
2023-06-21,965,86748,1.11%,37.16
2023-06-20,1022,87586,1.17%,37.61
2023-06-19,930,86797,1.07%,36.77
2023-06-18,748,72539,1.03%,37.91
2023-06-17,595,69346,0.86%,38.63
2023-06-16,819,76365,1.07%,37.04
2023-06-15,924,87031,1.06%,36.08
2023-06-14,994,92014,1.08%,36.1
2023-06-13,996,84881,1.17%,35.01
2023-06-12,1031,91510,1.13%,35.84
2023-06-11,790,78579,1.01%,35.7
2023-06-10,610,75031,0.81%,36.62
2023-06-09,890,88301,1.01%,35.29
2023-06-08,1098,100148,1.1%,33.79
2023-06-07,1051,98131,1.07%,33.47
2023-06-06,1121,93096,1.2%,32.92
2023-06-05,1065,99448,1.07%,33.2
2023-06-04,872,90139,0.97%,34.14
2023-06-03,594,83176,0.71%,35.67
2023-06-02,834,88026,0.95%,33.7
2023-06-01,1114,102222,1.09%,33.17
2023-05-31,1228,101029,1.22%,32.17
2023-05-30,1258,103976,1.21%,32.48
2023-05-29,1114,103654,1.07%,33.11
2023-05-28,908,101399,0.9%,34.66
2023-05-27,745,87644,0.85%,35.18
2023-05-26,970,99704,0.97%,32.49
2023-05-25,1161,107554,1.08%,32.11
2023-05-24,1286,106384,1.21%,31.2
2023-05-23,1294,104068,1.24%,30.91
2023-05-22,1262,106116,1.19%,31.16
2023-05-21,1079,96352,1.12%,32.04
2023-05-20,823,87668,0.94%,33.42
2023-05-19,1175,97547,1.2%,31.17
2023-05-18,1468,110577,1.33%,31.16
2023-05-17,1551,113783,1.36%,30.74
2023-05-16,1607,107160,1.5%,30.02
2023-05-15,1503,108207,1.39%,29.9
2023-05-14,1021,97667,1.05%,32.17
2023-05-13,806,92565,0.87%,35.16
2023-05-12,1202,103765,1.16%,31.21
2023-05-11,1460,113729,1.28%,30.27
2023-05-10,1455,109569,1.33%,30.34
2023-05-09,1424,106668,1.33%,30.38
2023-05-08,1457,105957,1.38%,30.9
2023-05-07,1147,91760,1.25%,31.88
2023-05-06,787,86097,0.91%,33.96
2023-05-05,1114,94572,1.18%,32.8
2023-05-04,1418,105841,1.34%,32.43
2023-05-03,1474,106776,1.38%,31.76
2023-05-02,1486,100377,1.48%,31.58
2023-05-01,1491,98595,1.51%,32.37
2023-04-30,1201,90670,1.32%,33.6
2023-04-29,843,80739,1.04%,36.13
2023-04-28,1326,83956,1.58%,33.41
2023-04-27,1465,96541,1.52%,33.62
2023-04-26,1366,92122,1.48%,34.33
2023-04-25,1348,87971,1.53%,34.43
2023-04-24,1345,90284,1.49%,35.96
2023-04-23,1051,82536,1.27%,37.38
2023-04-22,650,66749,0.97%,38.68
2023-04-21,1032,78378,1.32%,36.42
2023-04-20,1309,96105,1.36%,34.34
2023-04-19,1418,100840,1.41%,33.14
2023-04-18,1606,101740,1.58%,30.17
2023-04-17,1497,100015,1.5%,32.07
2023-04-16,1014,82111,1.23%,35.13
2023-04-15,626,71308,0.88%,37.03
2023-04-14,941,78923,1.19%,36.32
2023-04-13,1147,93223,1.23%,34.8
2023-04-12,1206,97811,1.23%,33.82
2023-04-11,1169,88171,1.33%,33.11
2023-04-10,1060,89259,1.19%,33.84
2023-04-09,737,77777,0.95%,35.71
2023-04-08,593,74080,0.8%,38.79
2023-04-07,765,73309,1.04%,37.18
2023-04-06,930,83024,1.12%,37.21
2023-04-05,1171,82507,1.42%,35.97
2023-04-04,1142,84756,1.35%,34.95
2023-04-03,1114,87222,1.28%,35.93
2023-04-02,836,79886,1.05%,36.9
2023-04-01,627,67462,0.93%,37.69
2023-03-31,836,80659,1.04%,36.02
2023-03-30,1180,91659,1.29%,34.12
2023-03-29,1115,84976,1.31%,34.5
2023-03-28,1195,78889,1.51%,35.13
2023-03-27,1151,79744,1.44%,35.62
2023-03-26,930,69543,1.34%,35.13
2023-03-25,714,66345,1.08%,38.33
2023-03-24,963,76949,1.25%,35.25
2023-03-23,1162,82903,1.4%,35.13
2023-03-22,1127,79247,1.42%,35.3
2023-03-21,1150,72473,1.59%,35.01
2023-03-20,1258,73960,1.7%,34.01
2023-03-19,823,65222,1.26%,35.94
2023-03-18,637,59568,1.07%,38.35
2023-03-17,840,61162,1.37%,36.63
2023-03-16,1024,69674,1.47%,35.7
2023-03-15,1095,73517,1.49%,34.87
2023-03-14,1033,69472,1.49%,34.9
2023-03-13,1083,71313,1.52%,34.79
2023-03-12,774,64790,1.19%,36.75
2023-03-11,609,54846,1.11%,37.68
2023-03-10,864,62223,1.39%,35.22
2023-03-09,1076,72690,1.48%,34.68
2023-03-08,1163,73935,1.57%,35.2
2023-03-07,1089,68323,1.59%,34.43
2023-03-06,1110,71008,1.56%,35.97
2023-03-05,847,64107,1.32%,36.39
2023-03-04,630,60426,1.04%,38.7
2023-03-03,807,62462,1.29%,36.86
2023-03-02,943,73320,1.29%,35.89
2023-03-01,1005,72680,1.38%,36.74
2023-02-28,1008,63846,1.58%,35.25
2023-02-27,1015,67990,1.49%,36.25
2023-02-26,671,62514,1.07%,38.37
2023-02-25,503,61449,0.82%,40.01
2023-02-24,748,68152,1.1%,37.43
2023-02-23,946,70097,1.35%,37.46
2023-02-22,977,75336,1.3%,36.46
2023-02-21,1012,70425,1.44%,34.86
2023-02-20,833,66698,1.25%,36.43
2023-02-19,631,60372,1.05%,37.28
2023-02-18,473,56870,0.83%,39.71
2023-02-17,743,59240,1.25%,38.09
2023-02-16,887,66608,1.33%,38.49
2023-02-15,838,67515,1.24%,39.06
2023-02-14,779,61196,1.27%,38.67
2023-02-13,747,63573,1.18%,38.6
2023-02-12,452,57903,0.78%,40.32
2023-02-11,466,55911,0.83%,39.93
2023-02-10,561,57354,0.98%,38.73
2023-02-09,785,65290,1.2%,39.68
2023-02-08,752,66492,1.13%,39
2023-02-07,746,60824,1.23%,37.3
2023-02-06,702,63667,1.1%,38.09
2023-02-05,414,58948,0.7%,41.07
2023-02-04,333,55251,0.6%,42.13
2023-02-03,392,55226,0.71%,38.89
2023-02-02,461,58287,0.79%,38.77
2023-02-01,500,59884,0.83%,38.61
2023-01-31,517,53949,0.96%,37.81
2023-01-30,510,56115,0.91%,38.59
2023-01-29,323,52410,0.62%,40.67
2023-01-28,243,50274,0.48%,41.86
2023-01-27,399,52040,0.77%,39.69
2023-01-26,476,55564,0.86%,38.85
2023-01-25,454,57992,0.78%,39.3
2023-01-24,539,54734,0.98%,38.66
2023-01-23,465,58366,0.8%,38.97
2023-01-22,321,53587,0.6%,40.36
2023-01-21,214,50650,0.42%,43.58
2023-01-20,387,50493,0.77%,40.95
2023-01-19,430,53714,0.8%,40.11
2023-01-18,466,54000,0.86%,38.79
2023-01-17,463,48314,0.96%,38.7
2023-01-16,399,52058,0.77%,40.27
2023-01-15,310,46247,0.67%,41.61
2023-01-14,224,44851,0.5%,43.64
2023-01-13,373,45643,0.82%,40.21
2023-01-12,468,52063,0.9%,39.13
2023-01-11,457,52752,0.87%,38.87
2023-01-10,514,49986,1.03%,38.73
2023-01-09,521,51889,1%,39.45
2023-01-08,337,47120,0.72%,41.17
2023-01-07,272,45789,0.59%,42.67
2023-01-06,383,44414,0.86%,40.33
2023-01-05,405,51447,0.79%,40.02
2023-01-04,420,52673,0.8%,39.63
2023-01-03,404,47586,0.85%,39.84
2023-01-02,322,46495,0.69%,41.04
2023-01-01,174,42261,0.41%,42.26
